title,externalPath,locationsText,bulletFields
Corporate Audit Manager,/job/Atlanta-GA/Corporate-Audit-Manager_JR5545,"Atlanta, GA",JR5545
Closing Coordinator,/job/Orlando-FL/Closing-Coordinator_JR5415,"Orlando, FL",JR5415
Manager Land Acquisition,/job/Las-Vegas-NV/Manager-Land-Acquisition_JR5683,"Las Vegas, NV",JR5683
"Assistant Construction Manager - Savannah, GA",/job/Savannah-GA/Assistant-Construction-Manager---Savannah--GA_JR5077,"Savannah, GA",JR5077
"Land Project Manager - Columbia, SC",/job/Columbia-SC/Assistant-Project-Manager-Land-Planning---Entitlements---Columbia--SC_JR4037,"Columbia, SC",JR4037
Customer Care Manager II (Wesley Chapel),/job/Riverview-FL/Customer-Care-Manager-II--Wesley-Chapel-_JR4529,"Riverview, FL",JR4529
"General Sales Manager - Myrtle Beach, SC",/job/Myrtle-Beach-SC/General-Sales-Manager---Myrtle-Beach--SC_JR5023,"Myrtle Beach, SC",JR5023
Land Coordinator,/job/Bonita-Springs-FL/Land-Coordinator_JR5185,"Bonita Springs, FL",JR5185
"Land Project Manager - Savannah, GA",/job/Hilton-Head-SC/Land-Project-Manager---Hilton-Head--SC_JR4032,"Hilton Head, SC",JR4032
"Sales Consultant - San Jose, CA",/job/Pleasanton-CA/Sales-Consultant---San-Jose--CA_JR5207,"Pleasanton, CA",JR5207
Assistant Construction Manager,/job/Albuquerque-NM/Assistant-Construction-Manager_JR4896,"Albuquerque, NM",JR4896
Construction Manager,/job/West-Palm-Beach-FL/Construction-Manager_JR4851,"West Palm Beach, FL",JR4851
Land Acquisition Manager,/job/Riverview-FL/Land-Acquisition-Manager_JR4404,"Riverview, FL",JR4404
